Brandstof,Datum tenaamstelling,cumsum
Alcohol,2008-01-31,7
Alcohol,2008-03-31,9
Alcohol,2008-06-30,11
Alcohol,2008-07-31,15
Alcohol,2008-08-31,18
Alcohol,2008-11-30,19
Alcohol,2009-01-31,20
Alcohol,2009-02-28,22
Alcohol,2009-03-31,23
Alcohol,2009-04-30,31
Alcohol,2009-05-31,35
Alcohol,2009-06-30,47
Alcohol,2009-07-31,58
Alcohol,2009-08-31,77
Alcohol,2009-09-30,87
Alcohol,2009-10-31,94
Alcohol,2009-11-30,96
Alcohol,2009-12-31,97
Alcohol,2010-01-31,103
Alcohol,2010-02-28,108
Alcohol,2010-03-31,112
Alcohol,2010-04-30,117
Alcohol,2010-05-31,125
Alcohol,2010-06-30,128
Alcohol,2010-07-31,132
Alcohol,2010-08-31,135
Alcohol,2010-09-30,140
Alcohol,2010-10-31,145
Alcohol,2010-11-30,146
Alcohol,2010-12-31,149
Alcohol,2011-01-31,153
Alcohol,2011-02-28,157
Alcohol,2011-03-31,169
Alcohol,2011-04-30,181
Alcohol,2011-05-31,194
Alcohol,2011-06-30,221
Alcohol,2011-07-31,238
Alcohol,2011-08-31,248
Alcohol,2011-09-30,264
Alcohol,2011-10-31,274
Alcohol,2011-11-30,300
Alcohol,2011-12-31,310
Alcohol,2012-01-31,333
Alcohol,2012-02-29,346
Alcohol,2012-03-31,355
Alcohol,2012-04-30,368
Alcohol,2012-05-31,386
Alcohol,2012-06-30,401
Alcohol,2012-07-31,416
Alcohol,2012-08-31,432
Alcohol,2012-09-30,441
Alcohol,2012-10-31,453
Alcohol,2012-11-30,466
Alcohol,2012-12-31,474
Alcohol,2013-01-31,487
Alcohol,2013-02-28,501
Alcohol,2013-03-31,520
Alcohol,2013-04-30,538
Alcohol,2013-05-31,555
Alcohol,2013-06-30,573
Alcohol,2013-07-31,589
Alcohol,2013-08-31,608
Alcohol,2013-09-30,629
Alcohol,2013-10-31,642
Alcohol,2013-11-30,659
Alcohol,2013-12-31,684
Alcohol,2014-01-31,701
Alcohol,2014-02-28,713
Alcohol,2014-03-31,729
Alcohol,2014-04-30,740
Alcohol,2014-05-31,754
Alcohol,2014-06-30,777
Alcohol,2014-07-31,790
Alcohol,2014-08-31,798
Alcohol,2014-09-30,815
Alcohol,2014-10-31,833
Alcohol,2014-11-30,851
Alcohol,2014-12-31,866
Alcohol,2015-01-31,888
Alcohol,2015-02-28,911
Alcohol,2015-03-31,929
Alcohol,2015-04-30,949
Alcohol,2015-05-31,965
Alcohol,2015-06-30,981
Alcohol,2015-07-31,1003
Alcohol,2015-08-31,1018
Alcohol,2015-09-30,1040
Alcohol,2015-10-31,1061
Alcohol,2015-11-30,1076
Alcohol,2015-12-31,1094
Alcohol,2016-01-31,1119
Alcohol,2016-02-29,1142
Alcohol,2016-03-31,1162
Alcohol,2016-04-30,1180
Alcohol,2016-05-31,1201
Alcohol,2016-06-30,1225
Alcohol,2016-07-31,1251
Alcohol,2016-08-31,1275
Alcohol,2016-09-30,1296
Alcohol,2016-10-31,1326
Alcohol,2016-11-30,1355
Alcohol,2016-12-31,1379
Alcohol,2017-01-31,1409
Alcohol,2017-02-28,1447
Alcohol,2017-03-31,1477
Alcohol,2017-04-30,1504
Alcohol,2017-05-31,1536
Alcohol,2017-06-30,1578
Alcohol,2017-07-31,1618
Alcohol,2017-08-31,1649
Alcohol,2017-09-30,1673
Alcohol,2017-10-31,1694
Alcohol,2017-11-30,1722
Alcohol,2017-12-31,1749
Alcohol,2018-01-31,1790
Alcohol,2018-02-28,1821
Alcohol,2018-03-31,1859
Alcohol,2018-04-30,1888
Alcohol,2018-05-31,1918
Alcohol,2018-06-30,1973
Alcohol,2018-07-31,2018
Alcohol,2018-08-31,2061
Alcohol,2018-09-30,2089
Alcohol,2018-10-31,2125
Alcohol,2018-11-30,2173
Alcohol,2018-12-31,2215
Alcohol,2019-01-31,2275
Alcohol,2019-02-28,2320
Alcohol,2019-03-31,2361
Alcohol,2019-04-30,2401
Alcohol,2019-05-31,2444
Alcohol,2019-06-30,2475
Alcohol,2019-07-31,2535
Alcohol,2019-08-31,2587
Alcohol,2019-09-30,2630
Alcohol,2019-10-31,2682
Alcohol,2019-11-30,2725
Alcohol,2019-12-31,2775
Alcohol,2020-01-31,2818
Alcohol,2020-02-29,2872
Alcohol,2020-03-31,2920
Alcohol,2020-04-30,2949
Alcohol,2020-05-31,2993
Alcohol,2020-06-30,3069
Alcohol,2020-07-31,3136
Alcohol,2020-08-31,3188
Alcohol,2020-09-30,3243
Alcohol,2020-10-31,3302
Alcohol,2020-11-30,3361
Alcohol,2020-12-31,3419
Alcohol,2021-01-31,3467
Alcohol,2021-02-28,3513
Alcohol,2021-03-31,3572
Alcohol,2021-04-30,3641
Alcohol,2021-05-31,3727
Alcohol,2021-06-30,3791
Alcohol,2021-07-31,3874
Alcohol,2021-08-31,3958
Alcohol,2021-09-30,4058
Alcohol,2021-10-31,4107
Benzine,1915-02-28,1
Benzine,1952-10-31,2
Benzine,1953-01-31,3
Benzine,1953-07-31,4
Benzine,1953-09-30,5
Benzine,1954-01-31,6
Benzine,1954-04-30,7
Benzine,1954-07-31,8
Benzine,1955-06-30,9
Benzine,1955-08-31,10
Benzine,1955-09-30,11
Benzine,1956-05-31,12
Benzine,1956-06-30,13
Benzine,1956-07-31,14
Benzine,1956-09-30,15
Benzine,1956-12-31,16
Benzine,1957-08-31,17
Benzine,1957-09-30,18
Benzine,1957-11-30,19
Benzine,1958-03-31,20
Benzine,1958-06-30,21
Benzine,1959-02-28,22
Benzine,1959-05-31,24
Benzine,1959-07-31,25
Benzine,1959-08-31,26
Benzine,1959-12-31,28
Benzine,1960-01-31,29
Benzine,1960-05-31,31
Benzine,1960-06-30,33
Benzine,1960-08-31,34
Benzine,1960-10-31,36
Benzine,1960-11-30,37
Benzine,1961-03-31,40
Benzine,1961-04-30,41
Benzine,1961-05-31,44
Benzine,1961-06-30,47
Benzine,1961-07-31,49
Benzine,1961-09-30,50
Benzine,1961-10-31,52
Benzine,1961-11-30,53
Benzine,1961-12-31,55
Benzine,1962-07-31,58
Benzine,1962-08-31,59
Benzine,1962-09-30,61
Benzine,1962-10-31,62
Benzine,1963-02-28,64
Benzine,1963-03-31,66
Benzine,1963-04-30,68
Benzine,1963-05-31,71
Benzine,1963-06-30,72
Benzine,1963-07-31,74
Benzine,1963-09-30,75
Benzine,1963-10-31,77
Benzine,1963-11-30,78
Benzine,1964-02-29,80
Benzine,1964-03-31,82
Benzine,1964-04-30,85
Benzine,1964-05-31,86
Benzine,1964-06-30,87
Benzine,1964-08-31,89
Benzine,1964-09-30,90
Benzine,1964-10-31,93
Benzine,1964-11-30,97
Benzine,1965-01-31,98
Benzine,1965-02-28,99
Benzine,1965-03-31,102
Benzine,1965-04-30,103
Benzine,1965-05-31,107
Benzine,1965-06-30,110
Benzine,1965-07-31,111
Benzine,1965-08-31,112
Benzine,1965-09-30,114
Benzine,1965-10-31,116
Benzine,1965-11-30,118
Benzine,1965-12-31,119
Benzine,1966-01-31,121
Benzine,1966-02-28,124
Benzine,1966-03-31,128
Benzine,1966-04-30,130
Benzine,1966-05-31,136
Benzine,1966-06-30,140
Benzine,1966-07-31,143
Benzine,1966-08-31,148
Benzine,1966-09-30,154
Benzine,1966-10-31,157
Benzine,1966-11-30,159
Benzine,1967-01-31,160
Benzine,1967-02-28,161
Benzine,1967-03-31,164
Benzine,1967-04-30,168
Benzine,1967-05-31,172
Benzine,1967-06-30,177
Benzine,1967-07-31,183
Benzine,1967-08-31,187
Benzine,1967-09-30,190
Benzine,1967-10-31,192
Benzine,1967-11-30,199
Benzine,1967-12-31,202
Benzine,1968-01-31,206
Benzine,1968-02-29,212
Benzine,1968-03-31,217
Benzine,1968-04-30,224
Benzine,1968-05-31,228
Benzine,1968-06-30,229
Benzine,1968-07-31,232
Benzine,1968-08-31,241
Benzine,1968-09-30,245
Benzine,1968-10-31,249
Benzine,1968-11-30,251
Benzine,1968-12-31,256
Benzine,1969-01-31,260
Benzine,1969-02-28,261
Benzine,1969-03-31,267
Benzine,1969-04-30,277
Benzine,1969-05-31,290
Benzine,1969-06-30,300
Benzine,1969-07-31,314
Benzine,1969-08-31,319
Benzine,1969-09-30,326
Benzine,1969-10-31,330
Benzine,1969-11-30,339
Benzine,1969-12-31,344
Benzine,1970-01-31,348
Benzine,1970-02-28,352
Benzine,1970-03-31,360
Benzine,1970-04-30,372
Benzine,1970-05-31,384
Benzine,1970-06-30,395
Benzine,1970-07-31,400
Benzine,1970-08-31,412
Benzine,1970-09-30,424
Benzine,1970-10-31,435
Benzine,1970-11-30,440
Benzine,1970-12-31,449
Benzine,1971-01-31,454
Benzine,1971-02-28,464
Benzine,1971-03-31,484
Benzine,1971-04-30,496
Benzine,1971-05-31,514
Benzine,1971-06-30,541
Benzine,1971-07-31,553
Benzine,1971-08-31,576
Benzine,1971-09-30,590
Benzine,1971-10-31,607
Benzine,1971-11-30,618
Benzine,1971-12-31,625
Benzine,1972-01-31,640
Benzine,1972-02-29,653
Benzine,1972-03-31,673
Benzine,1972-04-30,691
Benzine,1972-05-31,710
Benzine,1972-06-30,736
Benzine,1972-07-31,754
Benzine,1972-08-31,778
Benzine,1972-09-30,800
Benzine,1972-10-31,819
Benzine,1972-11-30,829
Benzine,1972-12-31,843
Benzine,1973-01-31,852
Benzine,1973-02-28,867
Benzine,1973-03-31,897
Benzine,1973-04-30,922
Benzine,1973-05-31,959
Benzine,1973-06-30,983
Benzine,1973-07-31,1009
Benzine,1973-08-31,1038
Benzine,1973-09-30,1058
Benzine,1973-10-31,1079
Benzine,1973-11-30,1095
Benzine,1973-12-31,1115
Benzine,1974-01-31,1122
Benzine,1974-02-28,1134
Benzine,1974-03-31,1157
Benzine,1974-04-30,1189
Benzine,1974-05-31,1234
Benzine,1974-06-30,1268
Benzine,1974-07-31,1303
Benzine,1974-08-31,1337
Benzine,1974-09-30,1363
Benzine,1974-10-31,1401
Benzine,1974-11-30,1434
Benzine,1974-12-31,1484
Benzine,1975-01-31,1570
Benzine,1975-02-28,1610
Benzine,1975-03-31,1651
Benzine,1975-04-30,1749
Benzine,1975-05-31,1790
Benzine,1975-06-30,1850
Benzine,1975-07-31,1900
Benzine,1975-08-31,1936
Benzine,1975-09-30,1978
Benzine,1975-10-31,2012
Benzine,1975-11-30,2041
Benzine,1975-12-31,2077
Benzine,1976-01-31,2287
Benzine,1976-02-29,2330
Benzine,1976-03-31,2390
Benzine,1976-04-30,2431
Benzine,1976-05-31,2485
Benzine,1976-06-30,2557
Benzine,1976-07-31,2632
Benzine,1976-08-31,2685
Benzine,1976-09-30,2746
Benzine,1976-10-31,2804
Benzine,1976-11-30,2854
Benzine,1976-12-31,2891
Benzine,1977-01-31,2954
Benzine,1977-02-28,3003
Benzine,1977-03-31,3086
Benzine,1977-04-30,3148
Benzine,1977-05-31,3240
Benzine,1977-06-30,3337
Benzine,1977-07-31,3420
Benzine,1977-08-31,3503
Benzine,1977-09-30,3561
Benzine,1977-10-31,3633
Benzine,1977-11-30,3692
Benzine,1977-12-31,3760
Benzine,1978-01-31,3856
Benzine,1978-02-28,3906
Benzine,1978-03-31,3991
Benzine,1978-04-30,4082
Benzine,1978-05-31,4169
Benzine,1978-06-30,4288
Benzine,1978-07-31,4367
Benzine,1978-08-31,4477
Benzine,1978-09-30,4554
Benzine,1978-10-31,4634
Benzine,1978-11-30,4704
Benzine,1978-12-31,4749
Benzine,1979-01-31,4842
Benzine,1979-02-28,4882
Benzine,1979-03-31,5015
Benzine,1979-04-30,5124
Benzine,1979-05-31,5241
Benzine,1979-06-30,5348
Benzine,1979-07-31,5444
Benzine,1979-08-31,5549
Benzine,1979-09-30,5605
Benzine,1979-10-31,5685
Benzine,1979-11-30,5756
Benzine,1979-12-31,5817
Benzine,1980-01-31,5918
Benzine,1980-02-29,6003
Benzine,1980-03-31,6119
Benzine,1980-04-30,6241
Benzine,1980-05-31,6364
Benzine,1980-06-30,6504
Benzine,1980-07-31,6589
Benzine,1980-08-31,6691
Benzine,1980-09-30,6777
Benzine,1980-10-31,6868
Benzine,1980-11-30,6932
Benzine,1980-12-31,7001
Benzine,1981-01-31,7099
Benzine,1981-02-28,7189
Benzine,1981-03-31,7295
Benzine,1981-04-30,7431
Benzine,1981-05-31,7579
Benzine,1981-06-30,7700
Benzine,1981-07-31,7831
Benzine,1981-08-31,7922
Benzine,1981-09-30,8021
Benzine,1981-10-31,8106
Benzine,1981-11-30,8188
Benzine,1981-12-31,8249
Benzine,1982-01-31,8360
Benzine,1982-02-28,8460
Benzine,1982-03-31,8616
Benzine,1982-04-30,8784
Benzine,1982-05-31,8950
Benzine,1982-06-30,9096
Benzine,1982-07-31,9256
Benzine,1982-08-31,9388
Benzine,1982-09-30,9495
Benzine,1982-10-31,9588
Benzine,1982-11-30,9679
Benzine,1982-12-31,9772
Benzine,1983-01-31,9889
Benzine,1983-02-28,9975
Benzine,1983-03-31,10139
Benzine,1983-04-30,10321
Benzine,1983-05-31,10497
Benzine,1983-06-30,10683
Benzine,1983-07-31,10844
Benzine,1983-08-31,10985
Benzine,1983-09-30,11118
Benzine,1983-10-31,11265
Benzine,1983-11-30,11365
Benzine,1983-12-31,11472
Benzine,1984-01-31,11609
Benzine,1984-02-29,11718
Benzine,1984-03-31,11866
Benzine,1984-04-30,12040
Benzine,1984-05-31,12262
Benzine,1984-06-30,12471
Benzine,1984-07-31,12661
Benzine,1984-08-31,12848
Benzine,1984-09-30,12980
Benzine,1984-10-31,13115
Benzine,1984-11-30,13257
Benzine,1984-12-31,13376
Benzine,1985-01-31,13494
Benzine,1985-02-28,13601
Benzine,1985-03-31,13781
Benzine,1985-04-30,14009
Benzine,1985-05-31,14248
Benzine,1985-06-30,14469
Benzine,1985-07-31,14665
Benzine,1985-08-31,14866
Benzine,1985-09-30,15033
Benzine,1985-10-31,15200
Benzine,1985-11-30,15332
Benzine,1985-12-31,15441
Benzine,1986-01-31,15640
Benzine,1986-02-28,15772
Benzine,1986-03-31,15971
Benzine,1986-04-30,16207
Benzine,1986-05-31,16444
Benzine,1986-06-30,16720
Benzine,1986-07-31,16981
Benzine,1986-08-31,17192
Benzine,1986-09-30,17384
Benzine,1986-10-31,17565
Benzine,1986-11-30,17736
Benzine,1986-12-31,17881
Benzine,1987-01-31,18032
Benzine,1987-02-28,18185
Benzine,1987-03-31,18407
Benzine,1987-04-30,18696
Benzine,1987-05-31,19016
Benzine,1987-06-30,19301
Benzine,1987-07-31,19618
Benzine,1987-08-31,19859
Benzine,1987-09-30,20078
Benzine,1987-10-31,20345
Benzine,1987-11-30,20522
Benzine,1987-12-31,20704
Benzine,1988-01-31,20899
